Symbol,Date,Exchange,TOD,Volume
BHP,20140828,NASDAQ OMX,Open,71
BHP,20140828,NASDAQ OMX,After-Hours,500
BHP,20140828,NASDAQ OMX,Close,100
BHP,20140828,Direct Edge A,Regular,58083
BHP,20140828,Direct Edge A,Open,0
BHP,20140828,Direct Edge A,After-Hours,0
BHP,20140828,Direct Edge A,Close,0
BHP,20140828,Chicago,Regular,115525
BHP,20140828,Chicago,Open,0
BHP,20140828,Chicago,After-Hours,0
BHP,20140828,Chicago,Close,0
BHP,20140828,NYSE,Regular,506055
BHP,20140828,NYSE,Open,50555
BHP,20140828,NYSE,After-Hours,0
BHP,20140828,NYSE,Close,26045
BHP,20140828,NASDAQ OMX BX,Regular,24332
BHP,20140828,NASDAQ OMX BX,Open,0
BHP,20140828,NASDAQ OMX BX,After-Hours,250
BHP,20140828,NASDAQ OMX BX,Close,0
BHP,20140530,NYSE Arca SM,Regular,209216
BHP,20140530,NYSE Arca SM,Open,100
BHP,20140530,NYSE Arca SM,After-Hours,31240
BHP,20140530,NYSE Arca SM,Close,100
BHP,20140530,FINRA,Regular,820670
BHP,20140530,FINRA,Open,0
BHP,20140530,FINRA,After-Hours,0
BHP,20140530,FINRA,Close,0
BHP,20140530,BATS,Regular,261287
BHP,20140530,BATS,Open,0
BHP,20140530,BATS,After-Hours,400
BHP,20140530,BATS,Close,0
BHP,20140530,Direct Edge X,Regular,165756
BHP,20140530,Direct Edge X,Open,0
BHP,20140530,Direct Edge X,After-Hours,3026
BHP,20140530,Direct Edge X,Close,0
BHP,20140530,NASDAQ OMX,Regular,407262
BHP,20140530,NASDAQ OMX,Open,83
BHP,20140530,NASDAQ OMX,After-Hours,600
BHP,20140530,NASDAQ OMX,Close,28
BHP,20140530,Direct Edge A,Regular,86759
BHP,20140530,Direct Edge A,Open,0
BHP,20140530,Direct Edge A,After-Hours,0
BHP,20140530,Direct Edge A,Close,0
BHP,20140530,NYSE,Regular,652934
BHP,20140530,NYSE,Open,26331
BHP,20140530,NYSE,After-Hours,0
BHP,20140530,NYSE,Close,75148
BHP,20140530,BATS Y,Regular,56903
BHP,20140530,BATS Y,Open,0
BHP,20140530,BATS Y,After-Hours,0
BHP,20140530,BATS Y,Close,0
BHP,20140530,NASDAQ OMX BX,Regular,43447
BHP,20140530,NASDAQ OMX BX,Open,0
BHP,20140530,NASDAQ OMX BX,After-Hours,0
BHP,20140530,NASDAQ OMX BX,Close,0
BHP,20140530,NASDAQ OMX PSX,Regular,2592
BHP,20140530,NASDAQ OMX PSX,Open,0
BHP,20140530,NASDAQ OMX PSX,After-Hours,0
BHP,20140530,NASDAQ OMX PSX,Close,0
BHP,20140530,Chicago,Regular,42400
BHP,20140530,Chicago,Open,0
BHP,20140530,Chicago,After-Hours,0
BHP,20140530,Chicago,Close,0
BHP,20140530,National,Regular,2135
BHP,20140530,National,Open,0
BHP,20140530,National,After-Hours,0
BHP,20140530,National,Close,0
BHP,20140311,NYSE Arca SM,Regular,217740
BHP,20140311,NYSE Arca SM,Open,142
BHP,20140311,NYSE Arca SM,After-Hours,31906
BHP,20140311,NYSE Arca SM,Close,100
BHP,20140311,FINRA,Regular,653541
BHP,20140311,FINRA,Open,0
BHP,20140311,FINRA,After-Hours,0
BHP,20140311,FINRA,Close,0
BHP,20140311,BATS,Regular,86552
BHP,20140311,BATS,Open,0
BHP,20140311,BATS,After-Hours,0
BHP,20140311,BATS,Close,0
BHP,20140311,Direct Edge X,Regular,106139
BHP,20140311,Direct Edge X,Open,0
BHP,20140311,Direct Edge X,After-Hours,0
BHP,20140311,Direct Edge X,Close,0
BHP,20140311,NASDAQ OMX,Regular,215417
BHP,20140311,NASDAQ OMX,Open,100
BHP,20140311,NASDAQ OMX,After-Hours,0
BHP,20140311,NASDAQ OMX,Close,225
BHP,20140311,Direct Edge A,Regular,69939
BHP,20140311,Direct Edge A,Open,0
BHP,20140311,Direct Edge A,After-Hours,0
BHP,20140311,Direct Edge A,Close,0
BHP,20140311,NYSE,Regular,289277
BHP,20140311,NYSE,Open,12145
BHP,20140311,NYSE,After-Hours,0
BHP,20140311,NYSE,Close,25537
BHP,20140311,NASDAQ OMX BX,Regular,37115
BHP,20140311,NASDAQ OMX BX,Open,0
BHP,20140311,NASDAQ OMX BX,After-Hours,0
BHP,20140311,NASDAQ OMX BX,Close,0
