"","Date","TOD","Exchange","Volume","Proportion"
"128",2014-07-07,"After-Hours","BATS",21922,0.0450655467090968
"129",2014-07-08,"After-Hours","BATS",35049,0.0615711364546662
"130",2014-07-09,"After-Hours","BATS",29970,0.061251893045243
"131",2014-07-10,"After-Hours","BATS",113712,0.087422686753055
"132",2014-07-11,"After-Hours","BATS",23040,0.0408823779916532
"133",2014-07-14,"After-Hours","BATS",69376,0.058763937969893
"134",2014-07-15,"After-Hours","BATS",1830425,0.531614883038481
"135",2014-07-16,"After-Hours","BATS",496686,0.118650343562984
"136",2014-07-17,"After-Hours","BATS",38712,0.0612444430381749
"137",2014-07-18,"After-Hours","BATS",45800,0.0917738196143496
"138",2014-07-21,"After-Hours","BATS",24200,0.0837648492232714
"139",2014-07-22,"After-Hours","BATS",28990,0.0659332661643396
"140",2014-07-23,"After-Hours","BATS",18030,0.0454517953837311
"141",2014-07-24,"After-Hours","BATS",25068,0.0551774535785665
"142",2014-07-25,"After-Hours","BATS",11445,0.0455807210874059
"143",2014-07-28,"After-Hours","BATS",13676,0.0617694350598905
"144",2014-07-29,"After-Hours","BATS",151104,0.0528286899391105
"145",2014-07-30,"After-Hours","BATS",69533,0.0930065515092013
"146",2014-07-31,"After-Hours","BATS",50814,0.0809912639603698
"147",2014-08-01,"After-Hours","BATS",48805,0.0654329528421538
"148",2014-08-04,"After-Hours","BATS",25678,0.0669325409237827
"149",2014-08-05,"After-Hours","BATS",29379,0.0832792387258807
"150",2014-08-06,"After-Hours","BATS",162653,0.0647289849576036
"151",2014-08-07,"After-Hours","BATS",147881,0.108275381355498
"152",2014-08-08,"After-Hours","BATS",27678,0.0817989987173652
"153",2014-08-11,"After-Hours","BATS",21362,0.0539828868032286
"154",2014-08-12,"After-Hours","BATS",13787,0.0750386432412427
"155",2014-08-13,"After-Hours","BATS",22101,0.0583087533044529
"156",2014-08-14,"After-Hours","BATS",18565,0.0916713164820731
"157",2014-08-15,"After-Hours","BATS",25267,0.0946396934613325
"158",2014-08-18,"After-Hours","BATS",25694,0.0630414674181067
"159",2014-08-19,"After-Hours","BATS",17390,0.025338403928254
"160",2014-08-20,"After-Hours","BATS",16826,0.0515458232749642
"161",2014-08-21,"After-Hours","BATS",201350,0.0991823551462269
"162",2014-08-22,"After-Hours","BATS",59340,0.0737864222538059
"163",2014-08-25,"After-Hours","BATS",31067,0.0502765721239898
"164",2014-08-26,"After-Hours","BATS",20739,0.0583214753738772
"165",2014-08-27,"After-Hours","BATS",21937,0.0669666433645419
"166",2014-08-28,"After-Hours","BATS",35056,0.0558228116187119
"167",2014-08-29,"After-Hours","BATS",48610,0.0852252305955247
"168",2014-09-02,"After-Hours","BATS",22509,0.0419270537438927
"169",2014-09-03,"After-Hours","BATS",0,0
"170",2014-09-04,"After-Hours","BATS",25558,0.0629020905014348
"171",2014-09-05,"After-Hours","BATS",49983,0.068322174805694
"172",2014-09-08,"After-Hours","BATS",72248,0.0622711633006268
"173",2014-09-09,"After-Hours","BATS",85739,0.0405551973837004
"174",2014-09-10,"After-Hours","BATS",9300,0.0217799104915937
"175",2014-09-11,"After-Hours","BATS",36943,0.0591182589214274
"176",2014-09-12,"After-Hours","BATS",31142,0.0691701667840159
"177",2014-09-15,"After-Hours","BATS",14199,0.041181827673817
"178",2014-09-16,"After-Hours","BATS",5094,0.0230755640919942
"179",2014-09-17,"After-Hours","BATS",14750,0.0507997079447299
"180",2014-09-18,"After-Hours","BATS",21013,0.0709766766310314
"181",2014-09-19,"After-Hours","BATS",46528,0.0680822172374083
"182",2014-09-22,"After-Hours","BATS",15462,0.0175342105352686
"183",2014-09-23,"After-Hours","BATS",19790,0.0371824042116259
"184",2014-09-24,"After-Hours","BATS",14698,0.0281470587108808
"185",2014-09-25,"After-Hours","BATS",14790,0.0206439978169566
"186",2014-09-26,"After-Hours","BATS",13048,0.0214709792925503
"187",2014-09-29,"After-Hours","BATS",13300,0.0253480593487645
"188",2014-09-30,"After-Hours","BATS",14303,0.0363131824748209
"189",2014-01-02,"Close","BATS",0,0
"190",2014-01-03,"Close","BATS",0,0
"191",2014-01-06,"Close","BATS",0,0
"192",2014-01-07,"Close","BATS",0,0
"193",2014-01-08,"Close","BATS",0,0
"194",2014-01-09,"Close","BATS",0,0
"195",2014-01-10,"Close","BATS",0,0
"196",2014-01-13,"Close","BATS",0,0
"197",2014-01-14,"Close","BATS",0,0
"198",2014-01-15,"Close","BATS",0,0
"199",2014-01-16,"Close","BATS",0,0
"200",2014-01-17,"Close","BATS",0,0
"201",2014-01-21,"Close","BATS",0,0
"202",2014-01-22,"Close","BATS",0,0
"203",2014-01-23,"Close","BATS",0,0
"204",2014-01-24,"Close","BATS",0,0
"205",2014-01-27,"Close","BATS",0,0
"206",2014-01-28,"Close","BATS",0,0
"207",2014-01-29,"Close","BATS",0,0
"208",2014-01-30,"Close","BATS",0,0
"209",2014-01-31,"Close","BATS",0,0
